                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2014.08f on 10 3 2015                              
                                          UCC -dir ../src                                          

                                      RESULTS FOR Python FILES                                      

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
6,1,0,0,1,0,4,5,5,CODE,../src/XbeeEndpointServiceTester.py
82,19,2,0,5,0,50,55,61,CODE,../src/GarageService.py
9,4,0,0,1,0,4,5,5,CODE,../src/WeatherServiceTester.py
124,34,4,1,10,0,65,75,86,CODE,../src/XbeeEndpointService.py
73,19,2,0,5,0,43,48,52,CODE,../src/WeatherService.py
9,4,0,0,1,0,4,5,5,CODE,../src/GarageServiceTester.py
9,4,0,0,1,0,4,5,5,CODE,../src/TransformationServiceTester.py
139,32,9,0,6,0,82,88,98,CODE,../src/TwitterService.py
9,4,0,0,1,0,4,5,5,CODE,../src/SupplyVoltageServiceTester.py
116,31,6,0,1,0,58,59,79,CODE,../src/getvalues.py
147,33,9,0,4,0,78,82,105,CODE,../src/ServiceBase.py
28,9,1,0,2,0,16,18,18,CODE,../src/SupplyVoltageService.py
141,32,1,0,5,0,89,94,108,CODE,../src/TransformationService.py
123,26,15,0,5,0,66,71,82,CODE,../src/supervisorPreProcess.py
9,4,0,0,1,0,4,5,5,CODE,../src/TwitterServiceTester.py
78,22,5,0,5,0,36,41,51,CODE,../src/SensorService.py

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
1102,278,54,1,54,0,716,770,CODE,Physical
1102,278,54,1,54,0,607,661,CODE,Logical

Number of files successfully accessed,16,out of,16

Ratio of Physical to Logical SLOC,    1.16

                                TOTAL OCCURRENCES OF Python KEYWORDS                                
Compiler Directives,,Data Keywords,,Executable Keywords
do,0,,,and,0
from,11,,,as,0
import,54,,,assert,0
no,0,,,break,6
package,0,,,continue,0
use,0,,,def,48
require,0,,,del,0
,,,,elif,0
,,,,else,17
,,,,except,14
,,,,exec,0
,,,,exit,1
,,,,finally,1
,,,,for,15
,,,,global,1
,,,,if,44
,,,,in,34
,,,,is,9
,,,,lambda,0
,,,,not,15
,,,,or,0
,,,,pass,0
,,,,print,21
,,,,raise,1
,,,,return,20
,,,,try,13
,,,,while,3
,,,,with,0
,,,,yield,0
