                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 10 3 2015                              
                                          UCC -dir ../src                                          

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Average(CC1),Risk,File Name
1,1,1,Low,../src/XbeeEndpointServiceTester.py
7,7,1.75,Low,../src/GarageService.py
1,1,1,Low,../src/WeatherServiceTester.py
11,11,1.375,Low,../src/XbeeEndpointService.py
5,5,1.25,Low,../src/WeatherService.py
1,1,1,Low,../src/GarageServiceTester.py
1,1,1,Low,../src/TransformationServiceTester.py
17,17,3.4,Low,../src/TwitterService.py
1,1,1,Low,../src/SupplyVoltageServiceTester.py
15,15,3,Low,../src/getvalues.py
22,22,1.69231,Low,../src/ServiceBase.py
5,5,1.66667,Low,../src/SupplyVoltageService.py
24,24,3,Low,../src/TransformationService.py
19,19,19,Medium,../src/supervisorPreProcess.py
1,1,1,Low,../src/TwitterServiceTester.py
9,9,1.28571,Low,../src/SensorService.py

140,140,2.1875

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,Risk,Function Name,File Name
1,1,Low,main,../src/XbeeEndpointServiceTester.py
1,1,Low,__init__,../src/GarageService.py
1,1,Low,init,../src/GarageService.py
4,4,Low,processMessage,../src/GarageService.py
1,1,Low,main,../src/GarageService.py
1,1,Low,main,../src/WeatherServiceTester.py
1,1,Low,__init__,../src/XbeeEndpointService.py
1,1,Low,init,../src/XbeeEndpointService.py
1,1,Low,addArguments,../src/XbeeEndpointService.py
2,2,Low,runXBeeThread,../src/XbeeEndpointService.py
3,3,Low,loop,../src/XbeeEndpointService.py
1,1,Low,onMessage,../src/XbeeEndpointService.py
1,1,Low,handleXbeePacket,../src/XbeeEndpointService.py
1,1,Low,main,../src/XbeeEndpointService.py
1,1,Low,__init__,../src/WeatherService.py
1,1,Low,init,../src/WeatherService.py
2,2,Low,processMessage,../src/WeatherService.py
1,1,Low,main,../src/WeatherService.py
1,1,Low,main,../src/GarageServiceTester.py
1,1,Low,main,../src/TransformationServiceTester.py
1,1,Low,__init__,../src/TwitterService.py
7,7,Low,init,../src/TwitterService.py
7,7,Low,onMessage,../src/TwitterService.py
1,1,Low,addArguments,../src/TwitterService.py
1,1,Low,main,../src/TwitterService.py
1,1,Low,main,../src/SupplyVoltageServiceTester.py
4,4,Low,get_value,../src/getvalues.py
2,2,Low,resolve_values,../src/getvalues.py
7,7,Low,run_test,../src/getvalues.py
1,1,Low,get_value_test,../src/getvalues.py
1,1,Low,main,../src/getvalues.py
1,1,Low,__init__,../src/ServiceBase.py
1,1,Low,connectCB,../src/ServiceBase.py
1,1,Low,messageCB,../src/ServiceBase.py
1,1,Low,init,../src/ServiceBase.py
2,2,Low,onConnect,../src/ServiceBase.py
2,2,Low,onMessage,../src/ServiceBase.py
6,6,Low,connect,../src/ServiceBase.py
2,2,Low,loop,../src/ServiceBase.py
1,1,Low,initArgParse,../src/ServiceBase.py
1,1,Low,addArguments,../src/ServiceBase.py
1,1,Low,parseArguments,../src/ServiceBase.py
2,2,Low,createMessageLog,../src/ServiceBase.py
1,1,Low,main,../src/ServiceBase.py
1,1,Low,__init__,../src/SupplyVoltageService.py
3,3,Low,onMessage,../src/SupplyVoltageService.py
1,1,Low,main,../src/SupplyVoltageService.py
1,1,Low,__init__,../src/TransformationService.py
2,2,Low,init,../src/TransformationService.py
7,7,Low,onMessage,../src/TransformationService.py
1,1,Low,addArguments,../src/TransformationService.py
9,9,Low,processVariables,../src/TransformationService.py
2,2,Low,generateMessage,../src/TransformationService.py
1,1,Low,publishMessage,../src/TransformationService.py
1,1,Low,main,../src/TransformationService.py
19,19,Medium,main,../src/supervisorPreProcess.py
1,1,Low,main,../src/TwitterServiceTester.py
1,1,Low,__init__,../src/SensorService.py
1,1,Low,init,../src/SensorService.py
1,1,Low,addArguments,../src/SensorService.py
1,1,Low,publishMessage,../src/SensorService.py
3,3,Low,onMessage,../src/SensorService.py
1,1,Low,processMessage,../src/SensorService.py
1,1,Low,main,../src/SensorService.py

140,Total(CC1)
      2.19,Average(CC1)
